x,y,z,g,
263,1,0,2,
152,1,0,7,
72,1,0,7,
343,1,0,2,
260,1,0,2,
347,1,0,2,
126,1,0,7,
84,1,0,7,
224,1,0,7,
135,1,0,7,
61,1,0,1,
329,1,0,2,
234,1,0,2,
260,1,0,2,
36,3,0,1,
87,1,0,7,
265,1,0,2,
250,1,0,2,
351,1,0,2,
346,1,0,2,
298,2,0,2,
34,2,0,1,
211,3,0,4,
169,1,0,7,
4,1,0,1,
232,1,0,7,
359,1,0,2,
342,1,0,2,
77,1,0,7,
255,1,0,2,
51,2,0,1,
228,1,0,7,
194,4,0,4,
351,3,0,2,
272,2,0,2,
185,2,0,4,
44,1,0,1,
320,1,0,2,
344,1,0,2,
129,2,0,4,
36,4,0,1,
174,1,0,7,
159,1,0,7,
0,1,0,1,
311,1,0,2,
356,1,0,2,
252,1,0,2,
52,1,0,1,
112,1,0,7,
199,1,0,7,
47,1,0,1,
4,1,0,1,
315,1,0,2,
126,1,0,7,
7,1,0,1,
134,1,0,7,
13,1,0,1,
237,1,0,2,
202,2,0,4,
277,1,0,2,
183,1,0,7,
5,1,0,1,
100,2,0,4,
253,2,0,2,
204,2,0,4,
50,1,0,1,
17,1,0,1,
92,1,0,7,
146,1,0,7,
344,1,0,2,
363,1,0,2,
77,1,0,7,
253,1,0,2,
133,1,0,7,
73,1,0,7,
232,1,0,7,
110,3,0,4,
9,1,0,1,
250,1,0,2,
152,4,0,4,
333,1,0,2,
15,1,0,1,
184,1,0,7,
237,1,0,2,
123,1,0,7,
110,1,0,7,
34,1,0,1,
296,1,0,2,
157,1,0,7,
239,1,0,2,
66,1,0,1,
249,1,0,2,
240,1,0,2,
126,1,0,7,
359,1,0,2,
161,1,0,7,
180,1,0,7,
325,1,0,2,
102,1,0,7,
184,1,0,7,
313,1,0,2,
265,1,0,2,
292,1,0,2,
112,2,0,4,
74,1,0,7,
236,1,0,2,
222,1,0,7,
328,1,0,2,
54,1,0,1,
92,1,0,7,
181,1,0,7,
344,1,0,2,
228,1,0,7,
91,1,0,7,
209,1,0,7,
10,1,0,1,
159,1,0,7,
113,1,0,7,
231,1,0,7,
209,1,0,7,
0,1,0,1,
210,1,0,7,
127,1,0,7,
40,1,0,1,
183,1,0,7,
350,1,0,2,
337,2,0,2,
232,1,0,7,
67,1,0,1,
58,1,0,1,
340,1,0,2,
160,1,0,4,
155,1,0,4,
101,1,0,4,
127,1,0,4,
156,2,0,4,
344,1,0,2,
355,1,0,2,
209,1,0,4,
123,2,0,4,
71,1,0,4,
359,1,0,2,
358,1,0,2,
88,1,0,4,
236,1,0,2,
203,1,0,4,
272,1,0,2,
343,2,0,2,
97,8,0,4,
138,1,0,4,
215,1,0,4,
8,3,0,1,
181,2,0,4,
123,1,0,4,
181,1,0,4,
148,1,0,4,
173,1,0,4,
128,1,0,4,
358,1,0,2,
84,1,0,4,
344,2,0,2,
327,1,0,2,
298,1,0,2,
66,2,0,1,
224,4,0,4,
245,1,0,2,
344,1,0,2,
68,1,0,1,
0,5,0,3,
29,1,0,1,
280,1,0,2,
162,1,0,4,
265,1,0,2,
67,1,0,1,
120,1,0,4,
346,1,0,2,
246,3,0,2,
309,1,0,2,
209,1,0,4,
19,1,0,1,
175,1,0,4,
79,2,0,4,
305,1,0,2,
363,1,0,2,
206,1,0,4,
327,1,0,2,
89,1,0,4,
341,1,0,2,
24,1,0,1,
5,1,0,1,
209,1,0,4,
294,1,0,2,
36,1,0,1,
264,1,0,2,
28,1,0,1,
254,1,0,2,
187,1,0,4,
307,1,0,2,
183,1,0,4,
182,1,0,4,
99,2,0,4,
99,1,0,4,
344,1,0,2,
229,1,0,4,
221,1,0,4,
162,1,0,4,
285,1,0,2,
46,1,0,1,
127,1,0,4,
238,1,0,2,
80,1,0,4,
135,1,0,4,
332,1,0,2,
321,1,0,2,
29,2,0,1,
244,1,0,2,
79,1,0,4,
49,1,0,1,
351,1,0,2,
318,1,0,2,
77,1,0,4,
305,1,0,2,
285,1,0,2,
33,1,0,1,
219,1,0,4,
230,4,0,4,
353,1,0,2,
39,1,0,1,
103,1,0,4,
342,1,0,2,
183,1,1000,4,
237,1,1100,2,
249,1,2700,2,
130,1,4880,4,
33,1,4900,1,
49,1,6500,1,
7,1,7100,1,
320,1,7600,2,
40,1,7740,1,
346,1,8100,2,
348,1,8140,2,
237,1,8483,2,
216,1,8500,7,
233,1,8500,2,
189,1,8500,7,
160,1,8900,4,
343,1,9100,2,
293,1,9500,2,
183,1,9790,7,
281,1,10100,2,
50,1,11020,1,
150,1,11050,7,
217,1,11900,7,
149,1,12100,7,
357,1,12330,2,
62,1,12500,1,
182,1,12700,4,
60,1,12840,1,
114,5,13190,4,
342,1,13451,2,
207,1,13520,4,
348,1,13700,2,
348,1,15500,2,
81,3,16330,4,
343,1,17300,2,
344,1,17640,2,
310,2,17700,2,
339,1,17900,2,
142,1,18100,4,
267,1,18100,2,
329,1,18200,2,
328,1,18228,2,
265,1,18400,2,
259,1,18400,2,
337,1,18400,2,
343,1,18460,2,
339,1,18700,2,
85,1,18900,4,
18,1,19100,1,
344,1,19100,2,
201,1,19102,7,
118,1,19240,7,
342,1,19300,2,
3,1,19300,1,
225,1,19300,7,
208,1,19300,7,
349,1,19300,2,
344,1,19300,2,
345,1,19300,2,
340,1,19300,2,
1,1,19300,1,
56,1,19610,1,
321,1,19700,2,
56,1,20000,1,
205,1,20000,4,
343,1,20000,2,
342,1,20000,2,
62,1,20200,1,
106,1,20200,4,
330,1,20300,2,
327,1,20300,2,
344,1,20300,2,
314,1,20300,2,
185,1,20320,7,
355,1,20756,2,
6,1,20800,1,
332,1,20860,2,
60,1,20900,1,
305,1,20900,2,
24,1,20950,1,
135,1,21000,4,
342,1,21090,2,
317,1,21100,2,
208,1,21100,7,
35,1,21100,1,
223,1,21100,4,
33,1,21100,1,
84,1,21100,4,
314,1,21127,2,
344,1,21200,2,
40,1,21220,1,
251,1,21300,2,
42,1,21300,1,
276,1,21400,2,
195,1,21500,4,
182,1,21600,4,
310,1,21800,2,
56,3,22000,1,
344,1,22000,2,
344,1,22000,2,
209,1,22257,4,
205,1,22300,7,
234,1,22300,2,
76,1,22300,7,
358,1,22300,2,
362,1,22300,2,
354,1,22300,2,
35,1,22400,1,
308,1,22500,2,
183,1,22500,4,
316,1,22500,2,
267,1,22700,2,
0,1,22760,1,
21,1,22800,1,
161,1,23000,7,
313,1,23000,2,
318,1,23000,2,
329,1,23000,2,
0,1,23100,1,
10,1,23100,1,
6,1,23100,1,
75,2,23300,4,
264,1,23300,2,
68,1,23300,1,
340,1,23300,2,
57,1,23300,1,
62,1,23300,1,
6,1,23300,1,
199,1,23300,4,
336,1,23300,2,
253,1,23300,2,
155,1,23506,4,
329,1,23600,2,
70,1,23740,4,
279,1,23800,2,
25,1,23800,1,
1,1,23860,1,
343,1,23900,2,
313,1,23900,2,
344,1,23900,2,
344,1,23900,2,
319,1,23920,2,
21,1,24100,1,
53,1,24100,1,
209,1,24100,4,
207,1,24100,4,
7,1,24100,1,
355,1,24300,2,
344,1,24500,2,
61,1,24500,1,
244,1,24500,2,
92,2,24700,4,
34,1,24920,1,
183,1,25200,7,
356,1,25200,2,
181,1,25200,4,
3,1,25300,1,
274,1,25300,2,
22,1,25300,1,
363,1,25300,2,
346,1,25300,2,
21,1,25300,1,
284,1,25300,2,
183,1,25400,4,
30,1,25420,1,
183,3,25740,4,
82,1,25900,7,
265,1,25900,2,
65,1,25900,1,
307,1,25900,2,
309,1,26100,2,
19,1,26100,1,
82,1,26100,4,
349,1,26198,2,
329,1,26200,2,
265,1,26300,2,
348,1,26300,2,
280,1,26300,2,
69,1,26300,7,
303,1,26300,2,
161,1,26300,7,
233,1,26300,2,
60,1,26300,1,
58,1,26300,1,
221,1,26300,7,
335,1,26300,2,
76,1,26300,7,
245,1,26300,2,
351,1,26300,2,
163,1,26300,4,
44,1,26300,1,
145,1,26320,7,
70,1,26320,4,
363,1,26370,2,
267,1,26400,2,
180,1,26400,7,
232,1,26400,2,
357,1,26500,2,
52,1,26500,1,
7,1,26500,1,
183,1,26600,7,
148,1,26600,7,
343,1,26600,2,
329,1,26600,2,
213,1,26770,7,
316,1,27020,2,
217,1,27030,4,
14,1,27100,1,
213,1,27100,7,
29,1,27100,1,
3,1,27100,1,
29,1,27100,1,
1,1,27100,1,
15,1,27100,1,
12,1,27100,1,
47,1,27100,1,
72,1,27130,4,
89,1,27200,4,
342,1,27200,2,
342,1,27261,2,
5,1,27300,1,
322,1,27300,2,
46,1,27300,1,
67,1,27300,1,
358,1,27300,2,
6,1,27300,1,
89,1,27300,4,
353,1,27300,2,
32,1,27300,1,
299,1,27300,2,
34,1,27300,1,
75,1,27300,4,
90,1,27300,4,
275,1,27300,2,
85,1,27300,4,
265,1,27490,2,
324,1,27500,2,
29,1,27500,1,
346,1,27500,2,
279,1,27500,2,
348,1,27520,2,
56,1,27520,1,
85,1,27570,7,
54,1,27580,1,
98,1,27600,7,
158,1,27600,7,
109,1,27700,4,
207,1,27780,4,
153,1,27790,4,
356,1,27900,2,
117,1,27920,4,
1,5,27980,3,
246,1,28000,2,
176,1,28020,4,
132,1,28100,7,
352,1,28100,2,
252,1,28100,2,
292,1,28100,2,
351,1,28100,2,
26,1,28100,1,
125,1,28100,7,
26,1,28100,1,
120,1,28100,4,
243,1,28100,2,
264,1,28100,2,
346,1,28200,2,
267,1,28240,2,
208,1,28240,4,
112,1,28240,4,
211,1,28240,4,
55,2,28300,1,
21,1,28300,1,
130,1,28300,7,
167,1,28300,4,
212,1,28300,4,
35,1,28380,1,
292,1,28400,2,
299,1,28400,2,
298,1,28400,2,
343,1,28400,2,
242,1,28460,2,
326,1,28500,2,
330,1,28500,2,
279,1,28510,2,
279,1,28510,2,
59,1,28600,1,
178,1,28800,4,
256,1,28850,2,
335,2,28900,2,
314,1,28900,2,
344,1,29000,2,
346,1,29000,2,
145,1,29000,7,
342,1,29000,2,
309,1,29000,2,
287,1,29000,2,
343,1,29000,2,
250,1,29010,2,
264,1,29020,2,
298,1,29020,2,
177,1,29100,7,
338,1,29100,2,
107,1,29100,4,
284,1,29100,2,
280,1,29260,2,
183,1,29300,7,
151,1,29300,7,
18,1,29300,1,
92,1,29300,7,
127,1,29300,7,
295,1,29300,2,
22,1,29300,1,
126,1,29300,7,
356,1,29300,2,
225,1,29300,7,
88,1,29300,7,
291,1,29300,2,
348,1,29300,2,
38,1,29300,1,
169,1,29300,7,
358,1,29300,2,
42,1,29300,1,
272,1,29300,2,
96,1,29300,4,
209,1,29300,4,
201,1,29300,4,
201,1,29300,4,
168,1,29300,4,
110,1,29300,4,
335,1,29300,2,
358,1,29300,2,
49,1,29300,1,
152,1,29300,4,
40,1,29300,1,
30,1,29300,1,
74,1,29300,4,
282,1,29300,2,
117,1,29300,4,
159,1,29300,4,
231,1,29300,4,
90,1,29300,4,
356,1,29300,2,
202,1,29300,4,
134,1,29320,4,
344,1,29400,2,
340,1,29410,2,
334,1,29450,2,
360,1,29500,2,
245,1,29542,2,
253,1,29600,2,
316,1,29800,2,
293,1,29900,2,
217,1,29900,7,
183,1,29900,4,
148,1,29940,4,
249,1,29980,2,
183,1,30000,7,
254,1,30000,2,
182,1,30000,7,
246,1,30000,2,
299,1,30000,2,
13,1,30000,1,
351,1,30000,2,
40,2,30000,1,
1,2,30000,1,
153,1,30000,4,
292,1,30000,2,
50,1,30100,1,
339,1,30100,2,
344,1,30100,2,
29,1,30100,1,
26,1,30100,1,
283,1,30100,2,
21,1,30100,1,
32,1,30100,1,
312,1,30100,2,
125,1,30100,4,
16,1,30100,1,
256,1,30100,2,
126,1,30160,7,
103,1,30200,4,
285,1,30200,2,
123,1,30300,7,
349,1,30300,2,
17,1,30300,1,
35,1,30300,1,
363,1,30300,2,
344,1,30300,2,
93,4,30300,4,
211,1,30300,4,
0,1,30300,1,
216,1,30350,4,
273,1,30400,2,
342,1,30440,2,
167,1,30460,4,
65,1,30540,1,
108,2,30550,4,
175,1,30600,7,
335,1,30600,2,
120,1,30600,7,
340,1,30600,2,
179,1,30600,4,
181,1,30600,4,
344,1,30670,2,
344,1,30730,2,
283,1,30800,2,
284,1,30900,2,
309,1,30900,2,
299,1,30940,2,
100,1,30980,7,
161,1,31000,7,
181,1,31000,4,
33,1,31002,1,
109,1,31010,7,
70,1,31090,4,
277,1,31100,2,
87,1,31100,7,
113,1,31100,7,
294,1,31100,2,
206,1,31100,7,
276,1,31100,2,
30,1,31100,1,
354,1,31100,2,
126,1,31100,4,
246,1,31100,2,
217,2,31100,4,
296,1,31135,2,
134,1,31200,7,
162,1,31200,7,
116,4,31200,4,
156,1,31200,4,
134,1,31200,4,
155,1,31200,4,
96,1,31200,4,
92,1,31300,7,
46,1,31300,1,
54,1,31300,1,
279,1,31300,2,
281,1,31300,2,
224,1,31300,4,
289,1,31400,2,
314,1,31400,2,
335,1,31400,2,
344,1,31400,2,
289,1,31400,2,
354,1,31400,2,
314,1,31400,2,
309,1,31400,2,
328,1,31480,2,
356,1,31635,2,
103,1,31657,4,
177,1,31700,7,
178,1,31700,7,
310,1,31700,2,
355,1,31710,2,
334,1,31800,2,
330,1,31900,2,
161,1,31900,4,
165,1,32000,7,
159,1,32000,7,
180,1,32000,7,
182,1,32000,7,
175,1,32000,7,
344,1,32000,2,
176,1,32000,4,
224,1,32020,4,
78,2,32100,4,
171,3,32100,4,
361,1,32100,2,
84,1,32100,4,
145,1,32100,4,
76,1,32100,4,
131,1,32100,4,
314,1,32200,2,
155,1,32200,4,
110,1,32300,7,
111,1,32300,7,
146,1,32300,7,
18,1,32300,1,
152,1,32300,7,
127,1,32300,7,
209,1,32300,7,
52,1,32300,1,
79,1,32300,7,
225,1,32300,7,
103,3,32300,4,
106,1,32300,7,
27,1,32300,1,
217,1,32300,7,
92,1,32300,7,
116,1,32300,7,
62,1,32300,1,
267,1,32300,2,
119,1,32300,4,
232,1,32300,4,
363,1,32300,2,
128,1,32300,4,
360,1,32300,2,
129,1,32300,4,
284,1,32300,2,
3,1,32300,1,
190,1,32300,4,
117,1,32300,4,
51,1,32300,1,
219,1,32300,4,
299,1,32300,2,
107,1,32300,4,
42,1,32300,1,
128,1,32300,4,
111,1,32300,4,
13,1,32300,1,
309,1,32300,2,
217,1,32300,4,
10,1,32300,1,
86,1,32300,4,
110,1,32300,4,
25,1,32300,1,
77,1,32300,4,
344,1,32300,2,
327,1,32320,2,
346,1,32400,2,
6,1,32500,1,
52,3,32600,1,
177,1,32600,7,
349,1,32640,2,
100,1,32660,4,
318,1,32720,2,
234,1,32800,2,
71,1,32810,7,
317,1,32900,2,
319,1,32970,2,
346,1,33000,2,
268,1,33000,2,
271,1,33100,2,
337,1,33100,2,
281,1,33100,2,
191,1,33100,4,
335,1,33100,2,
74,1,33300,7,
210,1,33300,7,
95,1,33300,4,
188,1,33390,4,
321,1,33400,2,
118,1,33422,7,
183,1,33430,4,
207,1,33500,7,
148,1,33500,4,
232,1,33520,2,
171,1,33600,7,
162,1,33600,7,
178,2,33600,4,
362,1,33600,2,
175,1,33600,7,
363,1,33600,2,
342,1,33600,2,
185,1,33600,4,
200,1,33640,7,
341,1,33680,2,
223,1,33692,4,
102,1,33700,7,
313,1,33700,2,
298,1,33700,2,
185,1,33700,4,
161,1,33720,7,
265,1,33740,2,
183,1,33740,7,
265,2,33800,2,
343,1,33800,2,
226,1,33812,7,
352,1,33820,2,
226,1,33880,4,
55,1,33980,1,
339,1,34000,2,
203,1,34100,7,
204,1,34100,7,
191,1,34100,7,
71,1,34100,7,
217,1,34100,4,
60,1,34100,1,
208,1,34100,4,
29,1,34100,1,
68,1,34100,1,
296,1,34100,2,
125,1,34100,4,
48,1,34200,1,
338,1,34200,2,
152,1,34200,7,
353,1,34200,2,
249,1,34200,2,
161,1,34200,4,
96,1,34240,7,
216,1,34300,7,
326,1,34300,2,
201,1,34300,7,
280,1,34300,2,
227,1,34300,4,
342,1,34300,2,
282,1,34300,2,
361,1,34300,2,
159,1,34400,7,
128,1,34400,4,
109,1,34430,7,
71,1,34430,7,
209,1,34600,7,
95,4,34800,4,
269,1,34900,2,
259,1,34910,2,
40,1,34910,1,
288,1,34960,2,
183,1,34970,4,
225,1,35000,4,
176,1,35100,7,
197,1,35100,7,
164,1,35100,7,
34,1,35100,1,
162,1,35100,4,
288,1,35100,2,
210,1,35100,4,
22,1,35140,1,
41,1,35140,1,
193,1,35200,4,
190,1,35300,7,
242,1,35300,2,
256,2,35300,2,
264,1,35300,2,
107,1,35300,7,
229,1,35300,7,
210,1,35300,7,
106,1,35300,7,
202,1,35300,7,
189,1,35300,7,
228,1,35300,7,
219,1,35300,7,
77,1,35300,7,
216,1,35300,7,
204,1,35300,7,
248,2,35300,2,
279,1,35300,2,
281,1,35300,2,
229,1,35300,4,
278,1,35300,2,
106,1,35300,4,
218,1,35300,4,
291,1,35300,2,
190,1,35300,4,
230,1,35300,4,
350,1,35300,2,
245,1,35300,2,
346,1,35300,2,
355,1,35300,2,
307,1,35300,2,
289,1,35300,2,
78,1,35320,4,
60,1,35400,1,
35,1,35500,1,
248,1,35500,2,
132,1,35500,4,
49,1,35500,1,
95,1,35620,4,
184,1,35700,4,
238,1,35800,2,
315,2,35800,2,
196,2,35840,4,
205,1,35840,4,
35,1,35900,1,
62,1,35900,1,
25,1,35900,1,
336,1,35940,2,
361,1,36000,2,
200,1,36000,7,
45,1,36000,1,
229,1,36080,4,
77,1,36100,4,
204,1,36100,4,
127,1,36100,4,
334,1,36200,2,
122,1,36200,7,
34,1,36300,1,
25,1,36300,1,
118,1,36300,7,
198,1,36300,4,
108,1,36300,4,
362,1,36300,2,
83,1,36300,4,
183,1,36330,7,
273,1,36400,2,
362,1,36500,2,
124,2,36500,4,
330,1,36500,2,
357,1,36520,2,
233,1,36520,2,
109,1,36540,4,
6,1,36550,1,
21,1,36600,1,
143,1,36600,7,
181,1,36600,7,
5,1,36620,1,
325,1,36700,2,
154,1,36700,4,
181,1,36700,4,
236,1,36750,2,
266,1,36800,2,
345,1,36800,2,
7,1,36920,1,
198,1,37000,7,
342,1,37000,2,
358,1,37055,2,
204,1,37100,7,
357,1,37100,2,
309,1,37100,2,
62,1,37100,1,
74,1,37100,4,
13,1,37100,1,
154,1,37150,7,
329,1,37200,2,
93,1,37240,4,
78,1,37300,7,
305,1,37300,2,
363,1,37300,2,
215,1,37300,7,
295,1,37300,2,
218,1,37300,7,
288,1,37300,2,
356,1,37300,2,
237,1,37300,2,
203,1,37300,7,
20,1,37300,1,
288,1,37300,2,
325,1,37300,2,
281,1,37300,2,
236,1,37300,2,
260,1,37300,2,
119,1,37410,4,
78,1,37500,4,
4,1,37500,1,
210,1,37600,4,
209,1,37650,7,
171,1,37800,7,
343,1,37800,2,
343,1,37800,2,
162,1,37800,4,
335,1,37900,2,
288,1,37984,2,
127,1,38000,7,
151,1,38000,7,
344,1,38000,2,
174,1,38000,7,
128,1,38000,4,
239,1,38000,2,
148,1,38000,4,
158,1,38100,7,
173,1,38100,7,
209,1,38100,7,
273,1,38100,2,
286,1,38100,2,
355,1,38100,2,
124,6,38100,4,
267,1,38100,2,
108,2,38100,4,
239,1,38100,2,
266,1,38100,2,
252,1,38100,2,
176,1,38100,4,
293,1,38100,2,
42,2,38100,1,
267,1,38140,2,
61,1,38140,1,
58,1,38140,1,
305,1,38230,2,
62,2,38300,1,
159,1,38300,7,
8,1,38300,1,
357,1,38300,2,
267,1,38300,2,
211,1,38300,7,
266,2,38300,2,
280,1,38300,2,
344,1,38300,2,
333,1,38300,2,
321,1,38300,2,
349,1,38300,2,
200,1,38300,4,
326,1,38400,2,
156,1,38400,4,
358,1,38410,2,
8,3,38500,1,
265,1,38510,2,
357,1,38530,2,
45,1,38550,1,
164,1,38590,7,
320,1,38600,2,
20,1,38600,1,
175,1,38600,4,
117,1,38700,7,
337,1,38800,2,
222,1,38860,4,
212,1,38860,4,
344,1,38890,2,
13,1,38900,1,
5,1,38900,1,
32,1,38900,1,
41,1,38900,1,
23,1,38900,1,
125,1,39000,4,
20,1,39000,1,
183,1,39050,7,
6,1,39100,1,
75,1,39100,7,
15,1,39100,1,
25,1,39100,1,
312,1,39100,2,
109,1,39100,7,
86,1,39100,7,
110,1,39100,7,
146,1,39100,7,
44,1,39100,1,
5,1,39100,1,
143,1,39100,7,
124,1,39100,7,
88,1,39100,4,
257,1,39100,2,
341,1,39100,2,
71,1,39100,4,
72,1,39100,4,
63,1,39100,1,
244,1,39100,2,
62,1,39100,1,
293,1,39100,2,
82,1,39110,4,
193,1,39150,4,
343,1,39200,2,
251,1,39200,2,
253,1,39210,2,
